,link,title,year,synopsis
10,"/wiki/90_Days,_Time_to_Love","90 Days, Time to Love",2006–2007,"Hyun Ji-seok (Kang Ji-hwan), a university professor, and Go Mi-yeon (Kim Ha-neul), a scriptwriter, were high school sweethearts, who discover that they are cousins. They break up, but find themselves attracted to one other once again when they meet in Seoul four years later. They decide to abandon everything else and leave for America so that they can get married. However, Ji-seok's father finds out and runs in front of a truck, committing suicide, so that his son doesn't go. Their visas had just been issued, but Ji-seok cannot marry Mi-yeon knowing that it was the cause of his father's death. He abandons Mi-yeon and marries Park Jeong-ran (Jung Hye-young), the daughter of his father's business rival, who is in love with him.  They have a daughter, but their marriage is loveless. Mi-yeon goes on to marry another man, Kim Tae-hoon (Yoon Hee-seok).
"
11,/wiki/A_Beautiful_Mind_(TV_series),A Beautiful Mind (TV series),2016,"Inspired by Mary Shelley's gothic novel Frankenstein, it tells the story of a world-renowned but unsympathetic neurosurgeon and his involvement with the mysterious deaths in the hospital he works in.
"
12,/wiki/A_Bird_That_Doesn%27t_Sing,A Bird That Doesn't Sing,2015,"A 10 billion won insurance murder case causes Oh Ha-nui (Hong Ah-reum) to lose everything. She sets out to take revenge upon Chun Mi-ja (Oh Hyun-kyung) who caused her misfortune.
"
13,/wiki/A_Daughter_Just_Like_You,A Daughter Just Like You,2015,"Hong Ae-Ja (Kim Hye-Ok) works as a host at a home shopping channel. She has three accomplished daughters: Ji-Sung (Woo Hee-Jin), In-Sung (Lee Soo-Kyung) and Hee-Sung (Jung Hye-Seong). Hong Ae-Ja's family interconnects with So Pan-Seok's (Jung Bo-Suk) family and Heo Eun-Sook's (Park Hae-Mi) as in-laws.
"
14,/wiki/A_Gentleman%27s_Dignity,A Gentleman's Dignity,2012,"A Gentleman's Dignity is about the careers and love lives of urban professionals. It tells the story of four men in their forties who have been friends since they were eighteen, as they go through love, breakup, success and failure.
"
15,/wiki/A_Girl_Who_Sees_Smells,A Girl Who Sees Smells,2015,"Choi Eun-seol (Shin Se-kyung) arrives home to find her parents murdered. When the murderer is distracted, she escapes but is hit by a car. Eun-seol's parents are later found with a barcode carved into their skin, the work of the ""Barcode"" serial killer. The lead detective on the case, Oh Jae-pyo (Jung In-gi) realizes that the now-comatose daughter Eun-seol is the sole surviving witness.
"
16,/wiki/A_Happy_Woman,A Happy Woman,2007,"As the titular ""happy woman,"" Lee Ji-yeon (Yoon Jung-hee) is an accessory designer with a cheerful, go-getting personality despite often being looked down upon because of her humble educational and family background. She ends up in a love triangle with her wealthy husband (Jung Gyu-woon) and a lonely detective (Kim Suk-hoon), as the drama explores what happiness means for a woman in terms of family, work, and love.
"
17,/wiki/A_Hundred_Year_Legacy,A Hundred Year Legacy,2013,"Min Chae-won is the eldest granddaughter of a family living in an outskirts of Seoul who have been running a noodle factory for three generations. Married for three years to Chul-gyu, whose rich family owns the major corporation Golden Dragon Food, Chae-won has had a difficult life because her mother-in-law fiercely opposed the match and would not accept her.
"
18,/wiki/A_Korean_Odyssey,A Korean Odyssey,2017–18,"In 2017, Son Oh-gong (Lee Seung-gi) and Woo Ma-wang (Cha Seung-won) are in conflict with each other as they look for a true light in a dark world where evil thrives. From there, Son Oh-gong is bound to his protective role towards Jin Seon-mi (Oh Yeon-seo), the little girl he had met years ago. Having made a contract with Seon-mi 25 years ago, entitling her to seek help from Son Oh-gong whenever she calls him in exchange for letting him free, the two meet again in a fateful encounter.
"
19,/wiki/A_Love_So_Beautiful_(2020_TV_series),A Love So Beautiful (2020 TV series),2020–21,"The series is story of unrequited love of three high school students. Seventeen-year-old Sin Sol-i (So Joo-yeon) is a cheerful girl. She is a student of Chun Ji High School. She has a crush on her fellow student and neighbour Cha Heon (Kim Yo-han). She repeatedly confesses her love to Cha Heon, who appears distant but in fact is awkward when it comes to expressing feelings. Woo Dae-seong (Yeo Hoe-Hyun), a good swimmer, transfers to Chun Ji High School and falls in love with Sin Sol-i.
"
20,/wiki/A_Love_to_Kill,A Love to Kill,2005,"Kang Bok-gu (Rain) is a skilled K-1 fighter. However, he has never tried to win a single fight, as he has no desire for the attention that will come with a title. He lives in the same house with Han Da-jung (Kim Sa-rang), who saved him from a fire when they were teenagers. Racked by guilt that she became scarred as a result and knowing her love for him, Bok-gu intends to spend the rest of his life with her, even though he is not in love with her. After years of being estranged from his older brother Kang Min-gu (Kim Young-jae), Bok-gu finally reconciles with him. However, the reunion is short-lived. Min-gu attempts suicide upon learning of the engagement of his ex-girlfriend, Cha Eun-suk (Shin Min-ah).
"
21,/wiki/A_Man_Called_God,A Man Called God,2010,"Choi Kang-ta is a super agent with a feared reputation who gains powers similar to a god. As a child, he lost his parents and was adopted by an American couple. After becoming an adult, he returns to Korea to exact revenge on the murderer of his father. He learns that there were four people responsible for his father's death. In the midst of carrying out his plans, his partner Vivian betrays him, putting his life in danger. He is nursed back to health by Bo-bae, a reporter he met by chance, and as he falls in love with her, his beliefs are shaken. After recovering from his wounds, he settles down in a slum neighborhood where he befriends the poor residents. For the first time in his life, he is surrounded by warmth and love in his new home, and finds peace within himself. But Hwang Woo-hyun, a high-ranking official at the Korean Central Intelligence Agency and heir to the Hwanglim Group empire, becomes enraged with jealousy that Choi Kang-ta stole Bo-bae away from him and decides to have him eliminated.
"
22,/wiki/A_New_Leaf_(TV_series),A New Leaf (TV series),2014,"Kim Seok-joo is a hotshot corporate lawyer; he is cold, successful, and a heartless shark at his job. But after he gets into an accident, Seok-joo is diagnosed with amnesia. The memory loss motivates him to discover who he really is and turn over a new leaf. While trying to recover his memory and identity, the man who in the past did not mind playing foul to succeed gets the chance to look at life, people and society from a completely different point of view. But this personality change puts him at odds with his law firm, and Seok-joo finds himself going up against his colleagues as he wages a righteous battle against social ills.
"
23,/wiki/A_Piece_of_Your_Mind,A Piece of Your Mind,2020,"A drama-romance between Moon Ha-won (Jung Hae-In) and Han Seo-woo (Chae Soo-Bin). Moon Ha-won is an AI programmer and he is the founder of AH Company. He is a consistent person with a good heart. Meanwhile, Han Seo-woo works as a classical music recording engineer. Her life is unstable without a family or house, but she is a positive person.
"
24,/wiki/A_Place_in_the_Sun_(South_Korean_TV_series),A Place in the Sun (South Korean TV series),2019,"A man assumes a new identity after a near-death car accident to seek revenge.
"
25,/wiki/A_Pledge_to_God,A Pledge to God,2018–19,"Little Hyeon Woo is gravely ill and needs a bone marrow transplant. His parents are not compatible donors either. His doctor advises his parents that cord blood of a sibling could be a potential donor. However, his parents are no longer married to each other.
"
26,/wiki/A_Poem_a_Day,A Poem a Day,2018,"The story of lives of people who work at the hospital like physical therapists, rehabilitation therapists, radiographers, nurses, medical trainees and more.
"
27,/wiki/A_Tale_of_Two_Sisters_(TV_series),A Tale of Two Sisters (TV series),2013,"Choi Se-young works part-time for a broadcasting company, and dreams of becoming an announcer. She was adopted when she was a young child. After she reunites with her birth mother, she becomes torn between her adoptive family and biological family. She goes through hardships between Yerin, but still forgives her.
"
28,/wiki/A_Thousand_Days%27_Promise,A Thousand Days' Promise,2011,"Lee Seo-yeon, a free-spirited woman, is having a secret affair with Park Ji-hyung, an architect who has a fiancée. Upon hearing that Ji-hyung's parents set the date for his wedding, Seo-yeon splits up with him. But she has no time to lament over her painful breakup, as she gets diagnosed with early on-set Alzheimer's, a very unlikely disease for a 30-year-old woman. Ji-hyung happens to learn the shocking fact, and he breaks off his engagement only two days before the wedding to return to his ex-girlfriend. Despite vehement opposition from his parents and even from Seo-yeon herself, he never gives up on her and marries her without delay. The doting husband is devoted to taking care of his ailing wife, who is losing her ability to remember. Despite her distressing condition, the couple tries to hang on to love and experience it to the end. They have a baby girl and find happiness in their married life from time to time, even though both are well aware that a tragic end awaits them.
"
29,/wiki/A_Thousand_Kisses_(TV_series),A Thousand Kisses (TV series),2011–12,"Woo Joo-young (Seo Young-hee) is the eldest daughter in the family and have come through hardships in life thanks to her bright and caring personality. Her husband Tae-kyung has an affair which ends in their divorce. One day, Joo-young takes her son Chan-noh to a soccer game and meets Jang Woo-bin (Ji Hyun-woo), a former national soccer player who's now a sports agent. Chan-noh warms to Woo-bin and this leads to a close friendship between Joo-young and Woo-bin. Woo-bin romances the divorced single mom, but their differences in age, social status and life experience create obstacles to their relationship.
"
30,/wiki/A_Witch%27s_Love,A Witch's Love,2014,"Ban Ji-yeon (Uhm Jung-hwa) is a 39-year-old investigative news reporter at Trouble Maker. Her job is the most important thing in Ji-yeon's life, and she's so passionate about it that colleagues call her a ""witch"" behind her back. Ji-yeon focuses all her energy on work because she stopped believing in love after her last boyfriend, 41-year-old war photographer Noh Shi-hoon (Han Jae-suk) disappeared prior to their wedding day.
"
31,/wiki/A-Teen,A-Teen,2018,"The story of six students and how they deal with their teenage years.
"
32,/wiki/A-Teen_2,A-Teen 2,2019,"The story of seven students who learn the joys and hardships of being 19-year-olds.
"
33,/wiki/About_Time_(TV_series),About Time (TV series),2018,"Choi Michaela (Lee Sung-kyung) is an aspiring musical actress who has the special ability to see people's life spans. One day, while she's heading off to an audition, she becomes involved in a minor car accident and meets Lee Do-ha (Lee Sang-yoon), a chaebol son and the president of cultural foundation MK Entertainment. After an unexpected discovery that her life clock stops whenever she's with him, she becomes determined to keep him close at all costs. Things take an interesting and painful turn as the two begin to fall in love.
"
34,/wiki/Abyss_(TV_series),Abyss (TV series),2019,"Go Se-yeon is a beautiful prosecution lawyer at the top of her game, and Cha Min is her friend, an unattractive but rich heir to a cosmetics empire. They are both revived into different bodies by supernatural beings using an ""Abyss"" after their deaths in separate incidents. The ""Abyss"" is a celestial object which has the power to revive anything that has died; the reincarnated bodies take on the appearance of that person's soul. Go Se-yeon takes on a 'plainer' appearance, whilst Cha Min becomes very attractive and young; virtually the opposite of before. They start working together to find out the reason for their revival and who caused Go Se-yeon's death.
"
35,/wiki/Ad_Genius_Lee_Tae-baek,Ad Genius Lee Tae-baek,2013,"Drama series depicts the lives and love of people working in the advertisement industry.
"
36,"/wiki/Aeja%27s_Older_Sister,_Minja","Aeja's Older Sister, Minja",2008,
37,/wiki/Age_of_Innocence_(TV_series),Age of Innocence (TV series),2002,
38,/wiki/Age_of_Warriors,Age of Warriors,2003–04,
39,/wiki/Air_City,Air City,2007,"Han Do-kyung (Choi Ji-woo) was especially scouted by the Incheon Airport director and willingly accepted one-third of the pay she was receiving in Singapore, to come back to Korea as the chief of operations of Incheon International Airport. She is level-headed, speaks five different languages, and remains cool and calm under all circumstances. However, Do-kyung lives with the emotional wounds caused by her estrangement from her sister, Yi-kyung (Lee Da-hee), who is a pilot.
"
40,/wiki/Alice_(South_Korean_TV_series),Alice (South Korean TV series),2020,"In the year 2050, Alice (temporal agency) specializes in sending clients back through time to see dead loved ones to find peace and closure; they also police time incursions. Alice agents Yoon Tae-yi (Kim Hee-sun) and Yoo Min-hyuk (Kwak Si-yang) travelled to the year 1992 Seoul to search for The Book of Prophecy (a book that predicts the fates of certain people and end of time travel) and found it. However, Lee Se-hoon (Park In-soo), agent of the mysterious Teacher (rogue group that wants to continue manipulating time), found the child version of Tae-yi and murdered her father for the book. Before her father died, he gave the final page to little Tae-yi before her adult counterpart arrived. Tae-yi and Min-hyuk acquired the book and had local police arrest Se-hoon. When Tae-yi realized she was pregnant, Min-hyuk (the father) encouraged Tae-yi to abort the child as time traveling (radiation) would cause serious defects. Tae-yi then disappeared with the book to carry her child. 
"
41,/wiki/All_About_Eve_(South_Korean_TV_series),All About Eve (South Korean TV series),2000,"Jin Sun-mi (Chae Rim) is a lovely college student who lives with her upper-middle-class widowed father. She has a happy childhood with her best friend Kim Woo-jin (Han Jae-suk). Life changes radically for Sun-mi when her father decides to support Heo Young-mi (Kim So-yeon), a beautiful girl the same age as Sun-mi.
"
42,/wiki/All_About_My_Mom,All About My Mom,2015–16,"Jin-ae (Eugene) works hard to make money only to end up spending it on her family, and her mother San-ok shows so much affection towards her first son only. Jin-ae then meets Kang Hoon-jae (Lee Sang-woo), who coincidentally is the son of her boss whom she admires, and marries him. While experiencing difficult times with her mother-in-law, Jin-ae begins to understand her own mother for the first time.
"
43,/wiki/All_About_My_Romance,All About My Romance,2013,
44,/wiki/All_In_(TV_series),All In (TV series),2003,"Orphaned then taken in by his gambler uncle, Kim In-ha (Jin Goo) often hangs out with his friends in the basement of a movie theater. He unexpectedly befriends Choi Jung-won, a model student and the rich son of the theater owner. In-ha and Jung-won both fall for Min Su-yeon (Han Ji-min), the daughter of the projectionist at the theater.
"
45,/wiki/All_My_Love_For_You,All My Love For You,2010–11,
46,/wiki/All_of_Us_Are_Dead,All of Us Are Dead,2021,"The story of a group of students stuck in their school during a zombie apocalypse.
"
47,/wiki/Alone_in_Love,Alone in Love,2006,"Yoo Eun-ho (Son Ye-jin) and Lee Dong-jin (Kam Woo-sung) meet one day at the bookstore where he works and they are immediately drawn to each other. They fall in love after subsequent meetings, and are eventually married. Two years later, they are divorced.
"
48,/wiki/Amanza,Amanza,2020,"When 27-year-old Park Dong-myung is diagnosed with terminal cancer, he starts going back and forth between reality and the dream world where an exciting adventure unfolds during which he learns the meaning of life.
"
49,/wiki/Andante_(TV_series),Andante (TV series),2017–18,"A high school student named Lee Shi-kyung (Kai) moves to the countryside with his family and discovers a real-life ecosystem.
"
50,/wiki/Ang_Shim_Jung,Ang Shim Jung,2010–11,"Secret organization Twelve Zodiac Animals controls Joseon through government officials and is involved in all kinds of crimes, from corruption to murders. To stop it, the king creates the secret society Ang Shim Jung, but the Twelve Zodiac Animals succeed in stealing the throne, and Ang Shim Jung's members are forced to hide in a gibang, where they begin to develop a plan for revenge. Following the murder of her parents, noblewoman Min Chung-seol joins Ang Shim Jung, where she meets Kang Ye-rang.
"
51,/wiki/Angel_Eyes_(TV_series),Angel Eyes (TV series),2014,"Yoon Soo-wan (Ku Hye-sun) and Park Dong-joo (Lee Sang-yoon) were each other's first loves, but were forced to separate due to painful family circumstances. Soo-wan, who had been blind, eventually undergoes an eye transplant surgery that restores her sight.
"
52,/wiki/Angel%27s_Choice,Angel's Choice,2012,
53,/wiki/Angel%27s_Last_Mission:_Love,Angel's Last Mission: Love,2019,"Lee Yeon-seo (Shin Hye-sun) is a supremely talented and successful ballerina with her family's Fantasia Ballet Company but suffers a devastating accident that leaves her blind.  She is bitter and abusive towards her staff, including her loyal secretary and butler, her conniving family, and everyone else.  Dan (Kim Myung-soo) is an optimistic, carefree angel who is always getting into trouble. In order to return to heaven he is given the seemingly impossible mission of finding true love for Yeon-Seo, but ends up falling for her himself.
"
54,/wiki/Angel%27s_Revenge_(TV_series),Angel's Revenge (TV series),2014,"Lee Seon-yoo is training to become a nun. Right before she finally gets her wish, she learns that her beloved older sister Jin-yoo has died. Jin-yoo was betrayed and killed by her lover, Jang Tae-jung. Tae-jung, a smart, good-looking man from a humble background, had committed himself to luring and marrying a tycoon's daughter ""against all odds,"" as part of an effort to get him into the upper class of society.
"
55,/wiki/Angry_Mom,Angry Mom,2015,"The protagonist, Jo Kang-ja was once legendary for being the toughest, most feared troublemaker at her Busan high school. Due to her pregnancy, in her late teens, she drops out of school and tries to become a responsible mother to her daughter, Oh Ah-ran. Fast-forward to the present, Kang-ja is now 34 years and Ah-ran is a teenager attending high school. The two have a contentious relationship, with Ah-ran ashamed of Kang-ja's unrefined <a href=""/wiki/Ajumma"" title=""Ajumma"">ajumma</a> manners.
"
56,/wiki/Another_Miss_Oh,Another Miss Oh,2016,"Park Do-kyung (Eric Mun) is a sound director in his 30s. A year ago, his bride, Oh Hae-young (pretty) (Jeon Hye-bin), disappeared on their wedding day leaving him miserable. One year after that incident, Do-kyung was told that Hae-young is going to marry a young entrepreneur named Han Tae-jin (Lee Jae-yoon). Do-kyung exacted revenge by sabotaging Tae-jin's business leaving him bankrupt. However, the woman who has the name Oh Hae-young (plain) (Seo Hyun-jin) was actually just a stranger who coincidentally has the same name as the other Oh Hae-young (pretty) who left him.
"
57,/wiki/Another_Peaceful_Day_of_Second-Hand_Items,Another Peaceful Day of Second-Hand Items,2020,"The drama tells the story of people who buy and sell secondhand items online. A woman was dumped by her long-term boyfriend and thought that she was ""secondhand item"" in dating. Another love story begins when she meets a man who helps her realize the value of things that are second-hand.
"
58,/wiki/Apgujeong_Midnight_Sun,Apgujeong Midnight Sun,2014–15,"The lives of four people (and their families) intersect as they work at a cable TV station, where they learn that a fateful encounter can determine whether a man and a woman will become lovers or enemies.
"
59,/wiki/April_Kiss,April Kiss,2004,
60,/wiki/Arang_and_the_Magistrate,Arang and the Magistrate,2012,"A nobleman named Kim Eun-oh (Lee Joon-gi) comes to town searching for his mother after hearing a rumor that she is staying at the village of Miryang. He has the special ability to hear, see and touch spirits, but pretends he doesn't because he gets annoyed when they pester him to help them.
"
61,/wiki/Are_You_Human%3F,Are You Human?,2018,"Oh Laura, a renowned scientist, was forced to part with her young son, Nam Shin. To cope with her loss, over the years, she builds various AI robots modelled after him, naming them Nam Shin I, II and III. Decades later, after surviving an attempt on his life, Nam Shin slips into a coma. To protect his position as the heir to a chaebol, Laura sends Nam Shin III to take his place and fulfil his duties.
"
62,/wiki/Argon_(TV_series),Argon (TV series),2017,"The story of truthful reporters who strive to deliver the facts in a world full of fake news.
"
63,/wiki/Arthdal_Chronicles,Arthdal Chronicles,2019,"In a mythical land called Arth, the inhabitants of the ancient city of Arthdal contend with power struggles, while some encounter love along the way. Eun-seom goes through hardships to bring his tribe back to life and learns of his true origins in the process.
"
64,/wiki/Asphalt_Man,Asphalt Man,1995,"Kang Dong-joon (Lee Byung-hun) is a young car designer who dreams of starting his own car company in Korea. He tries to get assistance from his father (Park In-hwan), but the family is in financial trouble. His younger brother Dong-seok (Jung Woo-sung) hates their father, and leaves the country to become a car racer in the United States. Meanwhile, his sister Dong-hee (Lee Young-ae) also flees to the U.S. after conceiving a child with a U.S. army soldier.
"
65,/wiki/Assembly_(TV_series),Assembly (TV series),2015,"Jin Sang-pil has been a shipyard welder for 23 years, but when he and his fellow workers get laid off, he fights for their reinstatement as the spokesman for the labor union. To his surprise, this leads to him becoming a newly elected member of the National Assembly. But because of his idealism and naiveté, Sang-pil finds it difficult to navigate the corridors of politics. Enter whip-smart aide Choi In-kyung, who shows him the ropes and together they work to accomplish real change within the government.
"
66,/wiki/Assorted_Gems,Assorted Gems,2009–10,"The family drama Assorted Gems revolves around four siblings of the Gung family. All are named after precious jewels: eldest daughter, Bi-chwi (Jade), eldest son San-ho (Coral), second daughter Ryu-bi (Ruby), and younger son Ho-bak (Amber).
"
67,/wiki/At_Eighteen,At Eighteen,2019,"At Eighteen follows the story of eighteen-year-old Choi Joon-woo (Ong Seong-wu), whose teenage life has been molded by his meager family life and the conflicts he faced in school. Forced to transfer for a violation he did not even commit, he arrives at Cheonbong High School and has decided to be a nobody: a loner just quietly riding out 11th grade. Little did he know the twists and turns and the surprises in store for his eighteen-year-old life.
"
68,/wiki/Athena:_Goddess_of_War,Athena: Goddess of War,2010–11,"The story begins around the same time as <a href=""/wiki/Iris_(TV_series)"" title=""Iris (TV series)"">Iris</a>, when Kim Hyun-jun is being hunted down by North Korean agents and branded a traitor while in Budapest. South Korean President Cho Myung-ho (Lee Jung-gil) expressed interest in advancing nuclear technology to lead the world with the most advanced and cost effective energy source of the century. To do this, he enlisted black-ops agent Dr. Kwon Yong-kwan (Yoo Dong-geun) to help retrieve a defecting North Korean scientist, Dr. Kim Myeong-guk.
"
69,/wiki/Autumn_Shower,Autumn Shower,2005,"Choi Yoon-jae (Oh Ji-ho) ends up in a car accident causing the passenger, his wife Kyu-eun (Kim So-yeon), to go into a coma. Park Yeon-seo (Jung Ryeo-won), Kyu-eun's best friend, is secretly in love with Yoon-jae. While Kyu-eun is in a coma, Yoon-jae and Yeon-seo begin an affair.
"
70,/wiki/Avengers_Social_Club,Avengers Social Club,2017,"Features three women from different walks of life coming together for revenge: a fish store ajumma who envisioned a better life for herself, a housewife who grew up an orphan, and a chaebol magnate's daughter who was raised like a delicate flower. They're an unlikely trio who would never otherwise meet, but they join forces to carry out their individual revenges. Although they start out as co-conspirators, along the way they become close to one another.
"
71,/wiki/Awaken_(TV_series),Awaken (TV series),2020–21,"Do Jung Woo, the leader of a special task force in the National Police Agency, ends up investigating a series of mysterious murders. Together with his team, which includes hot-headed Officer Gong Hye Won and Jamie, a detective on loan from the FBI, they uncover clues that these crimes are somehow related to a tragic event that happened 28 years ago in a village called ""White Night"".  Someone is killing people related to that village. Who? And why now?
"
72,/wiki/Babel_(TV_series),Babel (TV series),2019,"The story of a prosecutor who would do anything to achieve his revenge and an actress who loses everything after marrying into a rich family.
"
73,/wiki/Baby_Faced_Beauty,Baby Faced Beauty,2011,"34-year-old So-young (Jang Na-ra), has lackluster education background (a mere high school degree) and bad credit history (due to her younger, spendthrift sister). After getting fired from a fabric factory she worked at for 14 years, she has trouble finding a new job. When her younger sister, So-jin (Oh Yeon-seo), rejects the offer of working at a fashion design company called ""The Style"", So-young decides to take her sister's place by pretending to be 10 years younger. Other than the specialty of turning ordinary materials into something special, her advantage is her babyface. In the workplace, she encounters Seung-il (Ryu Jin), the company president who eyes her with interest, and Jin-wook (Choi Daniel), a marketing director who falls in love with her without knowing that she is seven years older than him.
"
74,/wiki/Babysitter_(TV_series),Babysitter (TV series),2016,"Jang Suk-ryoo (Shin Yoon-joo) is a 24-year-old university graduate who majors in English literature. As she begins to work as a babysitter for a rich family with three children, strange events start happening, resulting in an ambiguous relationship with the father, Lee Sang-won (Kim Min-joon).
"
75,/wiki/Bachelor%27s_Vegetable_Store,Bachelor's Vegetable Store,2011–12,"Han Tae-yang is a hardworking, talented young man who will do anything to make his tiny vegetable stand a success. He hires a couple of ""lost boys"" who become his employees and friends: Nam Yoo-bong, a successful yet lonely farmer with zero love life; Lee Chan-sol, an idol trainee whose talent agency throws him out after nine years due to a hushed scandal, so he ends up working in a host club; Yoon Ho-jae, a certifiable genius with a lack of social skills that makes him unhireable to big companies; and Jung Ki-young, a homeless man who doesn't talk much.
"
76,/wiki/Backstreet_Rookie,Backstreet Rookie,2020,
77,/wiki/Bad_Family_(TV_series),Bad Family (TV series),2006,"Baek Na-rim is a nine-year-old girl living happily with her big, extended family. One day, while on their way to a family vacation, Ha In-soo, an unscrupulous businessman that Na-rim's father had cut ties with, desperately tries to flag down their van. But in the process, In-soo accidentally runs their van off the road, causing a car crash. Her entire family dies, and Na-rim is the sole survivor. Grabbing his opportunity, In-soo conceals that he was ever at the scene of the accident.
"
78,/wiki/Bad_Guy_(TV_series),Bad Guy (TV series),2010,"In one night, Gun-wook (Kim Nam-gil) lost everything because of the Hong family. They took him in, believing he was President Hong's illegitimate son Tae-sung, and then cast him aside into the streets when it turned out to be a mistake. Years later, Gun-wook returns for revenge, taking down the Hongs and their Haeshin corporation step by step. The real Hong Tae-sung (Kim Jae-wook) and sisters Mo-ne (Jung So-min) and Tae-ra (Oh Yeon-soo) are all chess pieces in his impeccable revenge plan, but he never planned on meeting and falling in love with the smart and equally ambitious Jae-in (Han Ga-in).
"
79,/wiki/Bad_Guys_(TV_series),Bad Guys (TV series),2014,"Detective Oh Gu-tak will use any means necessary to catch criminals, and his ambiguous moral line often results in him getting suspended for excessive force. Gu-tak comes up with a plan to form a team of ""bad guys"" to work on cases and hunt down other criminals, and with the rising number of violent crimes in their district, ambitious police inspector Yoo Mi-young signs off on the arrangement. Gu-tak releases three convicts from jail to form his team: Lee Jung-moon is the youngest member of Mensa with a genius IQ of 165 and doctorate degrees in math and philosophy, but behind his boyish facade is a psychopath serial killer; Pak Un-Cheol is a mob boss who crushed his way to the top of the gangster chain in 25 days, and still remains top dog in prison; and Jung Tae-soo was once a hired hit man who never made a single mistake, but suddenly confessed and turned himself in one day.
"
80,/wiki/Bad_Guys_2,Bad Guys 2,2017–18,"A group of criminals are forced together to track down even worse villains.
"
81,/wiki/Bad_Housewife,Bad Housewife,2005,
